"STANOX","TIPLOC","CRS","Description","dataSource","stop_lon","stop_lat","easting","northing"
"","CATZCOU","COU","COLLOONEY   (CIE","UK2GTFS","-8.49483","54.18655","-23541","496325"
"","CATZCRZ","","CRICKLADE BUS","ATOC","-1.8554357549941123","51.640216958836994","410100","193500"
"","CATZCSE","CSE","CASTLEREA   (CIE","UK2GTFS","-8.48569","53.76139","-27286","449060"
"","CATZDBP","DBP","DUBLIN PEARSE (CIE)","UK2GTFS","-6.24863","53.34356","117305","391380"
"","CATZDMD","DMD","DROMOD      (CIE","UK2GTFS","-7.91639","53.85941","11174","456596"
"","CATZDRA","DRA","DROGHEDA    (CIE","UK2GTFS","-6.33594","53.71222","113995","432711"
"","CATZDUK","DUK","DUNDALK     (CIE","UK2GTFS","-6.41313","54.00092","110905","465117"
"","CATZDVR","","DAVENTRY BUS","ATOC","-1.1589673708532835","52.25948672257542","457500","262700"
"","CATZEFD","EFD","ENFIELD     (CIE","UK2GTFS","-6.83412","53.41625","78908","401941"
"","CATZENN","ENN","ENNIS       (CIE","UK2GTFS","-8.97527","52.8393","-69534","349765"
"","CATZFAR","FAR","FARRANFORE  (CIE","UK2GTFS","-9.55228","52.1738","-116085","279848"
"","CATZFAX","","FARINGDON BUS","ATOC","-1.5879479274932995","51.656667706866706","428600","195400"
"","CATZFOT","FOT","FOTA        (CIE","UK2GTFS","-8.31822","51.89622","-34541","240927"
"","CATZFXF","FXF","FOXFORD     (CIE","UK2GTFS","-9.13651","53.98287","-67612","477767"
"","CATZGOY","GOY","GOREY       (CIE","UK2GTFS","-6.29201","52.6712","109940","316814"
"","CATZGSO","GSO","GREYSTONES  (CIE","UK2GTFS","-6.06118","53.14443","128517","368516"
"","CATZKDR","KDR","KILDARE     (CIE","UK2GTFS","-6.90943","53.16319","71971","374160"
"","CATZKNY","KNY","KILKENNY    (CIE","UK2GTFS","-7.24361","52.65452","45516","319225"
"","CATZLBN","LBN","LISBURN NI","UK2GTFS","-6.04562","54.51412","138249","520734"
"","CATZLFO","LFO","LONGFORD    (CIE","UK2GTFS","-7.79693","53.72403","17787","440907"
"","CATZLPO","","LYME REGIS BUS X53","ATOC","-2.933574507700491","50.72476787217955","334200","92100"
"","CATZMAE","MAE","MAYNOOTH    (CIE","UK2GTFS","-6.59048","53.37825","94813","396646"
"","CATZMAJ","MAJ","MANULLA JN  (CIE","UK2GTFS","-9.1926","53.82783","-73036","460933"
"","CATZMBH","MBH","MUINE BHEAG (CIE","UK2GTFS","-6.95278","52.69892","65509","322765"
"","CATZMCZ","","MANCHESTER CTLZ","ATOC","-2.2350122332529003","53.478509252854174","384500","398000"
"","CATZMIE","MIE","MILLSTREET  (CIE","UK2GTFS","-9.07041","52.07744","-84248","265818"
"","CATZMOM","MOM","EDGEWORTHSTOWN (CIE)","UK2GTFS","-7.56049","53.6821","33000","435000"
"","CATZMOZ","","MOLD BUS","ATOC","-3.1428013206396","53.16764138295738","323700","364000"
"","CATZMUL","MUL","MULLINGAR   (CIE","UK2GTFS","-7.34574","53.5228","45832","416210"
"","CATZNBG","NBG","NEWBRIDGE (CIE","UK2GTFS","-6.80863","53.18541","78870","376171"
"","CATZNEN","NEN","NENAGH      (CIE","UK2GTFS","-8.19502","52.86049","-16869","347292"
"","CATZNWY","NWY","NEWRY NI","UK2GTFS","-6.36281","54.18856","115489","485771"
"","CATZPEE","","PORTREE BUS","ATOC","-6.192945867919555","57.41282806724685","148300","843600"
"","CATZPRO","PRO","PORTARLNGTN (CIE","UK2GTFS","-7.18117","53.14605","53685","373538"
"","CATZPTO","PTO","PORTLAOISE  (CIE","UK2GTFS","-7.302","53.03709","44714","362023"
"","CATZQCF","","COUNTRYFILE LIVE","ATOC","-1.3424316562111547","51.839873724411724","445400","215900"
"","CATZQDK","","DEREHAM KONECTBUS","ATOC","0.9425064300072304","52.68175613914752","599000","313400"
"","CATZQDM","","DEREHAM (COACH)","ATOC","0.939551916450348","52.681829486935385","598800","313400"
"","CATZQED","QED","EMR DESTINATION","UK2GTFS","7.46745","58.53748","950054","999998"
"","CATZQEO","QEO","EMR ORIGIN","UK2GTFS","6.61681","58.59783","899949","999999"
"","CATZQGL","","GOLFLINK","ATOC","-2.80725699525937","56.344509576079716","350200","717200"
"","CATZQGS","","GLASGOW SUBWAY","ATOC","-4.255803204834627","55.85747337676388","258900","665000"
"","CATZQHC","","HAMPTN CT FLOWER","ATOC","-0.33802543210312214","51.403736891655406","515700","168500"
"","CATZQND","QND","NTH DESTINATION","UK2GTFS","7.46745","58.53748","950054","999998"
"","CATZQNO","QNO","NTH ORIGIN","UK2GTFS","6.61681","58.59783","899949","999999"
"","CATZQXD","QXD","XC DESTINATION","UK2GTFS","7.46447","58.53732","949885","999956"
"","CATZQXO","QXO","XC ORIGIN","UK2GTFS","6.61394","58.59764","899786","999956"
"","CATZRCM","RCM","ROSCOMMON   (CIE","UK2GTFS","-8.19623","53.62384","-9576","432077"
"","CATZRCR","RCR","ROSCREA     (CIE","UK2GTFS","-7.79428","52.96079","11061","356107"
"","CATZRDU","RDU","RATHDRUM    (CIE","UK2GTFS","-6.22644","52.93047","116067","345372"
"","CATZRMR","RMR","RATHMORE    (CIE","UK2GTFS","-9.21796","52.08536","-94252","267695"
"","CATZRSS","RSS","ROSSLARE STRAND (CIE","UK2GTFS","-6.39174","52.2718","100498","272828"
"","CATZSDT","","SIDMOUTH BUS","ATOC","-3.239851157748024","50.68054440357453","312500","87500"
"","CATZSLI","SLI","SLIGO       (CIE","UK2GTFS","-8.48113","54.27217","-21772","505749"
"","CATZTEM","TEM","TEMPLEMORE  (CIE","UK2GTFS","-7.82249","52.78793","7608","337058"
"","CATZTHM","THM","THOMASTOWN  (CIE","UK2GTFS","-7.14932","52.52315","50843","304167"
"","CATZTPY","TPY","TIPPERARY   (CIE","UK2GTFS","-8.16161","52.47016","-18344","303747"
"","CATZTUM","TUM","TULLAMORE   (CIE","UK2GTFS","-7.47578","53.26299","35001","387999"
"","CATZTUS","TUS","THURLES     (CIE","UK2GTFS","-7.82196","52.67682","6642","324712"
"","CATZWLA","WLA","WOODLAWN    (CIE","UK2GTFS","-8.47165","53.34309","-30601","402527"
"","CATZWPT","WPT","WESTPORT    (CIE","UK2GTFS","-9.50992","53.796","-94245","459571"
"","CATZXPX","","ST AGNES BUS","ATOC","-5.203761963819991","50.312040770925734","172000","50700"
"","CATZZND","","NORTHWOOD UND","ATOC","-0.42434899945344473","51.610854626342935","509200","191400"
"","CATZZSO","","SOUTHWARK LT","ATOC","-0.10528921874556432","51.50362224393162","531600","180000"
"","CLCHLIP","","COLCHESTER L.I.P.","openRailData","0.8893611778489474","51.90101021915819","598874","226440"
"","CMTN","CBT","CAMBELTOWN (KINTYRE)","UK2GTFS","-5.59985","55.42354","172297","620300"
"","CNTBE5","","CANTERBURY EAST SIGNAL CB5","openRailData","1.0755372571560042","51.27423760049537","614613","157280"
"","CREWBHG","","CREWE BAS HALL S.S.M. GBRF","openRailData","-2.420814982281","53.06819019846938","371900","352409"
"","CREWBHS","","CREWE BAS HALL S.S.S.","openRailData","-2.4223218531324644","53.06966806482238","371800","352574"
"","CREWBSS","","BASFORD HALL S.S.","openRailData","-2.4223218531324644","53.06966806482238","371800","352574"
"","DALSJN","","DALSTON JUNCTION","openRailData","-0.08215724945819142","51.54866800537059","533074","185051"
"","DERB622","","LEVINGTON SIGNAL CO622","openRailData","1.2584729213427555","52.01929812989176","623672","240664"
"","DOEHAYF","","Doe Hill Appleyard Fuels","openRailData","-1.3685830403376467","53.11921272455251","442356","358188"
"","DONCBUY","","BELMONT UP YARD","openRailData","-1.1246699596737422","53.50405371543662","458156","401172"
"","DONCRFF","","DONCASTER RAILPORT (FF)","openRailData","-1.120200374964369","53.50365241780816","458453","401131"
"","DONCUDA","","Doncaster Up Decoy Advenza","openRailData","-1.120875763527296","53.50380119539246","458408","401147"
"","DUNBSCE","","Dunbar Down Sdgs CE","openRailData","-2.513203301020131","55.997981766829554","368089","678456"
"","EFARBUS","","EAST FARLEIGH","ATOC","0.4849843589468689","51.255166906106076","573500","153600"
"","EHBJN","","Engine House Bridge Jn","railmap","-2.3706114","52.4442365","374906","282982"
"","FAVR21","","FAVERSHAM SHUNT SIGNAL 21","openRailData","0.9166347179366733","51.3155600369675","603349","161422"
"","FAVR35","","FAVERSHAM SHUNT SIGNAL 35","openRailData","0.89468260745633","51.31065452556216","601841","160816"
"","GNFTCE","","GREENFOOT C.E.","openRailData","-4.031108675740854","55.901767500340966","273107","669493"
"","GNFTSB","","GREENFOOT","openRailData","-4.031108675740854","55.901767500340966","273107","669493"
"","GNHLUGL","","GREENHILL UPPER U.G.L.","openRailData","-3.900198633566497","55.98615597790333","281549","678651"
"","GRONGLJ","","GARRIONGILL JN","openRailData","-3.8939539215335683","55.75822682249637","281244","653277"
"","HNDSQHA","","HANDSWORTH QUEENS HEAD AFL","openRailData","-1.964488955682092","52.5055126282988","402507","289734"
"","HOLINWS","","HOLLINWOOD MTLK","ATOC","-2.146257572087996","53.51999798289385","390400","402600"
"","HULLFER","","Hull Yard (FLHH)","openRailData","-0.40323417198321765","53.72336662231708","505457","426399"
"","KGST410","","KINGSTON SIGNAL F410","openRailData","-0.3064580668413965","51.41332072590389","517871","169616"
"","KGST412","","KINGSTON SIGNAL F412","openRailData","-0.30645939621320634","51.413284775416976","517871","169612"
"","KNOKSCH","","KNOCKSHINNOCH WASHERY","openRailData","-4.201124131593422","55.38521912148665","260655","612344"
"","LEWI253","","LEWISHAM SIGNAL L253","openRailData","-0.01778047849031022","51.46712996451247","537783","176103"
"","LVRPFLF","","L'POOL BULK TERM FASTLINE","openRailData","-3.0047210654749983","53.447890470706206","333369","395038"
"","LYDNQDF","","DEAN FOREST RAILWAY","ATOC","-2.532618029308038","51.715523938272334","363300","202000"
"","MARG20","","MARGATE SIGNAL GE20","openRailData","1.3622473832178934","51.382593407321735","634054","170203"
"","MDNH291","","MAIDENHEAD 291 SIG","openRailData","-0.7225025125140119","51.51851539847964","488735","180728"
"","MGTE","","MOORGATE DELETE","openRailData","-0.08852699672472096","51.51852101896473","532720","181687"
"","MNCRMCT","","MEDIA CITY MTLK","ATOC","-2.296752585804547","53.47297979138957","380400","397400"
"","MNCRRFW","","FIRSWOOD MTLK","ATOC","-2.2785330692012726","53.45145101714213","381600","395000"
"","MNCRWDI","","W DIDSBURY MTLK","ATOC","-2.2362207125172384","53.42457526430577","384400","392000"
"","MONTDTS","","MONTROSE DOWN THRO' SDG","openRailData","-2.4722129513324576","56.71291103420596","371192","758014"
"","MRYLEJN","","MARYLAND EAST JUNCTION","openRailData","0.0017469924609001275","51.54477549338421","538903","184774"
"","MURODS","","Muir Of Ord Down Siding Dcl","railmap","-4.459737","57.5169303","252768","850088"
"","PAGES LC","","Pages LC","openRailData","-2.750762491941241","53.69576353334674","350526","422407"
"","PAIGDV","PGN","PAIGNTON","UK2GTFS","-3.56468","50.43484","288975","60615"
"","POLMOCE","","Polmont C.e.","railmap","-3.7217948","55.9853055","292676","678264"
"","PTADOWN","PTN","PORTADOWN NI","UK2GTFS","-6.44561","54.42516","111751","512409"
"","PYECRNR ","PYE","Pye Corner Rail Station","NAPTAN","-3.04121211895","51.58147562023","327951","187471"
"","RAMSCWM","","RAMSGATE CWM ROAD","openRailData","1.3952684488255993","51.33952626016521","636573","165521"
"","SAFFWAL","","SAFFRON WLDN BUS","ATOC","0.24169978662118102","52.02448145486928","553900","238600"
"","SESABUS ","ZBU","Southease - Piddinghoe Road","NAPTAN","0.01781804182","50.8296261509","542200","105284"
"","SLATRCE","","TIPLOC does not exist","openRailData","-3.2372983828609705","55.92932328002842","322790","671387"
"","SRUI67R","","SOUTH RUISLIP SIG ME67R","openRailData","-0.3735917086644807","51.549579958880024","512866","184663"
"","STAN366","","STANSTED AIRPORT SIG L1366","openRailData","0.25553338751401355","51.885011892634544","555330","223120"
"","STANSTD","","STANSTED","openRailData","0.199141796890212","51.901205268233085","551395","224802"
"","STCRHCR","","STONE CROSSING","ATOC","0.26396867191331713","51.45300678362838","557400","175100"
"","STRE171","","STREATHAM STH JN SIG VC171","openRailData","-0.13247643869788553","51.425389909840405","529935","171252"
"","TRIM617","","LEVINGTON SIGNAL CO617","openRailData","1.2609171212456751","52.018429954933","623844","240575"
"","TRIM619","","TRIMLEY SIGNAL CO619","openRailData","1.3193176860221116","51.97672803868505","628062","236120"
"","WDRNGBF","","WIDDRINGTON OPENCAST GBRF","openRailData","-1.616144228262761","55.241028858213","424507","594159"
"","WHSTLEX","","WHITSTABLE LON END XOVER","openRailData","1.0217279105484929","51.35337872546947","610498","165923"
"","WMBYDRR","","WEMBLEY SIGNALS WM827/829","openRailData","-0.2961759524836444","51.55162931890703","518228","185013"
"","WMBYURR","","WEMBLEY SIGNALS WM929/931","openRailData","-0.2812775434090931","51.54355277296936","519282","184139"
"","ZZTYALS","ZZT","Alston Rail Station","NAPTAN","-2.44181239691","54.81463100919","371705","546730"
"","ZZTYKKH","ZZT","Kirkhaugh Rail Station","NAPTAN","-2.47694524097","54.84338961636","369469","549945"
"","ZZTYLIN","ZZT","Lintley Rail Station","NAPTAN","-2.48831088196","54.853553071","368747","551081"
"","ABARASQ","","ABERAERON","ATOC","-4.258440894315826","52.24266571404423","245900","262900"
"","ABDAPEN","XPZ","PENYWAUN","railmap","-3.4841037","51.7305369","297602","204578"
"","ABDATRE","XTO","TRECYNON","railmap","-3.459253","51.721419","299298","203529"
"","ABGNWYN","","ABERGYNOLWYN","railmap","-3.956269","52.6441864","267738","306956"
"","ABNGHST","","ABINGDON DID BUS","ATOC","-1.28121799061372","51.67317507590099","449800","197400"
"","ABNGSTR","","ABINGDON DID BUS","ATOC","-1.28121799061372","51.67317507590099","449800","197400"
"","ABRYSNS","","ABERYSTWYTH STATION SDGS","TPS","-4.081947228263765","52.41495732711535","258500","281700"
"","ACTONTN","","ACTON TOWN UND","ATOC","-0.2811142115879491","51.50273338377378","519400","179600"
"","ALBNFCL","","ALBANY PARK","ATOC","0.12642675132284362","51.435798765307176","547900","172900"
"","ALBNHRC","","ALBANY PARK","ATOC","0.12642675132284362","51.435798765307176","547900","172900"
"","ALBNHV","","ALBANY PARK","ATOC","0.12642675132284362","51.435798765307176","547900","172900"
"","ALBURGH","","ALDEBURGH-BUS 64","ATOC","1.6004053926858952","52.15088340975553","646400","256400"
"","ALFREMD","","EASTMID DESIGNER","ATOC","-1.3113511552138477","53.10641873971542","446200","356800"
"","ALRSBUS","","ALRESFORD SWAN","railmap","-1.2057674","51.0832126","455728","131844"
"","ALTOBUS","","ALTON HIGH STREET","railmap","-0.9789435","51.1493099","471514","139390"
"","ALTRMET","","ALTRINCHAM MTLK","ATOC","-2.347284218870752","53.38835033216332","377000","388000"
"","ALTT","ATW","ALTON TOWERS","railmap","-1.8947355","52.9917412","407163","343827"
"","ALVCRLP","","ALVECHURCH RED LION","ATOC","-1.9617757660169024","52.352375321420624","402700","272700"
"","AMPFLD","AMD","AMPFIELD","railmap","-1.4278165","51.0076934","440240","123302"
"","ARKW","ARW","ARKLOW","UK2GTFS","-6.15992","52.79388","119655","329927"
"","ARMADLE","","SKYE (ARMADALE)","ATOC","-5.894097859861445","57.06187722955192","164000","803500"
"","ASHUBUS","","ASHURST BALD FACED STAG","ATOC","0.1523484533677395","51.129554573040075","550700","138900"
"","AVEBRED","","AVEBURY BUS","ATOC","-1.8532301097054606","51.42801186875271","410300","169900"
"","AXMNSTS","","AXMINSTER","ATOC","-3.0055762363696914","50.77902690441579","329200","98200"
"","AYRRSTE","","DISTRICT ENGINEER S&TE","BPLAN","-4.622788618074191","55.54054335628104","234600","630550"
"","BAGMTLK","","BAGULEY MTLK","ATOC","-2.293213145394292","53.396585101678966","380600","388900"
"","BAKECH","","CHATSWORTH HOUSE","railmap","-1.6109684","53.229372","426067","370328"
"","BAKEWEL","BKZ","BAKEWELL (BUXTON ROAD)","railmap","-1.6750704","53.2134458","421796","368535"
"","BANSBUS","","BANSTEAD","ATOC","-0.21437257243380287","51.32997610287076","524500","160500"
"","BARKG21","","BARKING SIGNAL BK 21","BPLAN","0.08093278872668073","51.54273139843899","544400","184700"
"","BARLSOP","","BARLASTON ORCHARD PLACE","ATOC","-2.1695947155976163","52.94198575669086","388700","338300"
"","BATHBUS","","BATH BUS STATION","ATOC","-2.354835963688807","51.378110573369696","375400","164400"
"","BBGHR","","Barton & Broughton","railmap","-2.7382309","53.8210958","351498","436342"
"","BCKNBUS","","BECKENHAM JUNCTION","ATOC","-0.02713241110118469","51.411504932364565","537300","169900"
"","BCSTBUS","XEZ","BICESTER BURE PLACE","railmap","-1.1498434","51.8975447","458594","222451"
"","BDHMNRD","","BEDHAMPTON","ATOC","-0.9969688461782248","50.85369449195112","470700","106500"
"","BDICK","","BRODICK","ATOC","-5.139361779240191","55.57738058009284","202200","636000"
"","BEDFBUS","XDW","BEDFORD BUS STATION","railmap","-0.4717055","52.1374265","504692","249892"
"","BELFBUS","","BELFORD BUS","ATOC","-1.8301838693621326","55.598602991911655","410800","633900"
"","BELN688","","BELLINGHAM SIGNAL VS688","railmap","-0.0176925","51.4355292","537884","172589"
"","BENMTLK","","BENCHILL MTLK","ATOC","-2.257061293162896","53.38678107126179","383000","387800"
"","BHAMAIR","XFG","BIRMINGHAM AIRPORT (BUS)","railmap","-1.7293094","52.452726","418492","283896"
"","BHAMNEC","","COLES BUS NECBIA","ATOC","-1.7262609249218195","52.45095571251792","418700","283700"
"","BLENHEM","","BLENHEIM PALACE","ATOC","-1.3598096689733756","51.842666861548935","444200","216200"
"","BLFAIRS","XBX","BELFAIRS BUS","railmap","0.6552298999999999","51.5559956","584166","187464"
"","BLFSTCL","BFC","BELFAST LANYON PLACE","UK2GTFS","-5.91715","54.59502","147062","529259"
"","BLFSTDQ","BFQ","BELFAST BR OFF 20 DONEGALL QY","railmap","-5.9218276","54.6024538","146806","530102"
"","BLFSTPT","BFA","BELFAST PORT","railmap","-5.8923461","54.6280616","148867","532843"
"","BLHSJN","","BLACKHOUSE JN","BPLAN","-4.618010051454087","55.54019620702155","234900","630500"
"","BLKBNHS","","L H S","BPLAN","-2.488155098103239","53.74110033947392","367900","427300"
"","BLMMTLK","","BARLOW M RD MTLK","ATOC","-2.269379237826607","53.43259586813838","382200","392900"
"","BLTCARR","","Bletchley ARR","railmap","-0.7364594999999999","52.0014092","486836","234416"
"","BNBRYFY","","FOSTER YEOMAN","BPLAN","-1.327321554662822","52.07445521723683","446200","242000"
"","BNDSLUL","","BOUNDS GREEN UND","ATOC","-0.12411865135499081","51.60644042787435","530000","191400"
"","BODMNGS","","BODMIN GENERAL BUS STOP","railmap","-4.7166592","50.4660585","207301","66443"
"","BODMNMF","BDF","BODMIN MOUNT FOLLY","railmap","-4.7187094","50.4702796","207172","66917"
"","BODMTSB","","BODMIN TSB BUS STOP","railmap","-4.7194266","50.472051","207129","67116"
"","BORDON","BDZ","BORDON","railmap","-0.8571175999999999","51.1054962","480110","134643"
"","BOWJB4S","","BOW JN B4 SIGNAL","BPLAN","-0.022007212261791125","51.530124508626045","537300","183100"
"","BOWKERV","","BOWKER VALE MTLK","ATOC","-2.2503496921138186","53.52431915352369","383500","403100"
"","BOXHBUS","","BOXHILL BURFD BR","ATOC","-0.32335651364825324","51.25424948381872","517100","151900"
"","BRAY","BZY","BRAY","UK2GTFS","-6.10007","53.20351","126294","375232"
